cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
flops;['kahypar'];Concatenated Repetition;81;0;2860;614.0;1242.0;32;0.49359;1.278357744216919
flops;['kahypar'];Holographic;25;0;13040;3088.0;3264.0;256;0.925;3.1518125534057617
flops;['kahypar'];Holographic;95;0;19549264;1776576.0;1777552.0;65536;0.85859;121.2268843650818
flops;['greedy'];Rotated Surface;9;0;6656;164.0;228.0;16;0.28125;1.023475170135498
flops;['greedy'];Rotated Surface;25;0;165120;1672.0;1928.0;64;0.11133;0.3459060192108154
flops;['greedy'];Rotated Surface;49;0;5639744;11688.0;12264.0;256;0.05485;0.801203727722168
flops;['kahypar'];BB Tanner;18;0;73848856326965504;4230411264.0;4230413568.0;1073741824;0.02936;17129.490356206894
flops;['kahypar'];BB Tanner;30;0;37529585635036928;5080623618112.0;5080623621952.0;549755813888;0.0177;94620.3455338478
flops;['greedy'];Hamming Tanner;7;0;1635292;816.0;1036.0;256;0.1084;1.1487538814544678
flops;['greedy'];Hamming Tanner;15;0;295619156592;5974352.0;5977024.0;1048576;0.04925;0.6028709411621094
flops;['kahypar'];Holographic;25;0;13040;3664.0;3840.0;256;0.925;1.277682542800903
flops;['kahypar'];Holographic;95;0;19549264;1776576.0;1777552.0;65536;0.85859;177.81622314453125
flops;['kahypar'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;1.0728538036346436
flops;['kahypar'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;0.6828603744506836
flops;['kahypar'];Concatenated Repetition;81;0;2860;614.0;1242.0;32;0.49359;1.4829528331756592
flops;['greedy'];Hamming Tanner;7;0;1389532;1088.0;1308.0;256;0.12793;1.1169383525848389
flops;['greedy'];Hamming Tanner;15;0;295421762160;6035792.0;6038464.0;1048576;0.04925;0.7289779186248779
flops;['kahypar'];Rotated Surface;9;0;6720;272.0;336.0;32;0.3125;1.1784820556640625
flops;['kahypar'];Rotated Surface;25;0;169216;1736.0;1992.0;64;0.11198;5.700258255004883
flops;['kahypar'];Rotated Surface;49;0;10363968;13144.0;13720.0;256;0.07186;74.83961081504822
flops;['greedy'];Hamming Tanner;7;0;1623004;978.0;1198.0;256;0.10775;0.796717643737793
flops;['greedy'];Hamming Tanner;15;0;295619156592;6027856.0;6030528.0;1048576;0.04927;0.3945229053497314
flops;['greedy'];Rotated Surface;9;0;6720;116.0;180.0;16;0.21094;1.0529093742370603
flops;['greedy'];Rotated Surface;25;0;107136;2048.0;2304.0;128;0.10677;0.327629804611206
flops;['greedy'];Rotated Surface;49;0;5443136;14792.0;15368.0;512;0.05688;0.5521388053894043
flops;['kahypar'];Rotated Surface;9;0;6720;272.0;336.0;32;0.3125;1.3102788925170898
flops;['kahypar'];Rotated Surface;25;0;169216;1736.0;1992.0;64;0.11198;1.2951710224151611
flops;['kahypar'];Rotated Surface;49;0;22570048;18552.0;19128.0;512;0.07585;769.7574014663696
flops;['greedy'];BB Tanner;18;0;22310887622912;5596693568.0;5596695872.0;1073741824;0.04346;1.784196376800537
flops;['greedy'];BB Tanner;30;0;19515550388981504;4840610203712.0;4840610207552.0;549755813888;0.0175;5.0619957447052
flops;['kahypar'];Hamming MSP;7;0;2330031;2262.0;2917.0;512;0.12734;20.90767502784729
flops;['kahypar'];Hamming MSP;15;0;325757169935119;72494450.0;72503329.0;67108864;0.11536;165435.22199058533
flops;['greedy'];BB Tanner;18;0;22310887622912;5581636672.0;5581638976.0;1073741824;0.04334;1.8839895725250244
flops;['greedy'];BB Tanner;30;0;19515963511148288;5750338290752.0;5750338294592.0;549755813888;0.02571;2.617610454559326
flops;['greedy'];Holographic;25;0;13104;3136.0;3312.0;256;0.925;1.0723326206207275
flops;['greedy'];Holographic;95;0;1527376;3805824.0;3806800.0;262144;0.41484;1.0116050243377686
flops;['kahypar'];Holographic;25;0;13040;3088.0;3264.0;256;0.925;0.7064673900604248
flops;['kahypar'];Holographic;95;0;21417040;1761216.0;1762192.0;65536;0.85859;30.222597122192383
