cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
custom_flops;['kahypar'];Holographic;25;0;10544;2368.0;2544.0;256;0.82656;95.70772910118103
custom_flops;['kahypar'];Holographic;95;0;23170896;1580736.0;1581712.0;65536;0.67373;303.54298734664917
flops;['kahypar'];Holographic;25;0;13040;3088.0;3264.0;256;0.925;67.29015398025513
flops;['kahypar'];Holographic;95;0;2095376;4690320.0;4691296.0;262144;0.64038;481.4619164466858
custom_flops;['greedy'];BB MSP;18;0;13848345381714;25309916.0;25315694.0;4194304;0.03747;245.7620792388916
custom_flops;['greedy'];BB MSP;30;0;324617609418031221084110798141150;5317812952428.0;5317812962058.0;2199023255552;0.11178;304.0706295967102
flops;['greedy'];BB MSP;18;0;11351240061957138;47812367374274.0;47812367380052.0;2199023255552;0.01862;13.708180665969849
flops;['greedy'];BB MSP;30;0;2439640900206427198;15473367334304.0;15473367343934.0;1099511627776;0.06229;30.78666925430298
custom_flops;['kahypar'];Rotated Surface MSP;9;0;6392561;3220.0;4101.0;512;0.11508;385.1324107646942
custom_flops;['kahypar'];Rotated Surface MSP;25;0;37809511471169907414105;7.612944042759391e+18;7.612944042759402e+18;2305843009213693952;0.06445;4975.992806434631
flops;['kahypar'];Rotated Surface MSP;9;0;345905;1612.0;2493.0;128;0.13777;311.2425661087036
flops;['kahypar'];Rotated Surface MSP;25;0;679672834959145;272447800.0;272459441.0;134217728;0.09002;3959.0277433395386
custom_flops;['kahypar'];BB Tanner;18;0;4722655557680395454720;152655872.0;152658176.0;16777216;0.02908;312.9457063674927
custom_flops;['kahypar'];BB Tanner;30;0;324598091320119066244626351918848;425709107200.0;425709111040.0;68719476736;0.01745;527.7828719615936
flops;['kahypar'];BB Tanner;18;0;1747691324589476096;2288268288.0;2288270592.0;1073741824;0.02893;319.08059334754944
flops;['kahypar'];BB Tanner;30;0;1203023589832396544;17677620371520.0;17677620375360.0;2199023255552;0.01708;503.55761885643005
