cost_fn;representation;num_run_x;distance;num_qubits;contraction_time;contraction cost;contraction width;operations;avg intermediate tensor;max tensor size;wep;score_cotengra;brute_force;num_run_y;brute_force_operations;operations_w_bruteforce
custom;Concatenated;39;3;9;0.0306644439697265;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;39;3;9;0.1257579326629638;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;39;3;9;0.1291944980621338;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;40;3;9;0.0326251983642578;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;40;3;9;0.104299783706665;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;40;3;9;0.1088380813598632;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;41;3;9;0.0306987762451171;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;41;3;9;0.0857269763946533;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;41;3;9;0.0842838287353515;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;42;3;9;0.023909568786621;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;42;3;9;0.0801708698272705;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;42;3;9;0.0775198936462402;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;43;3;9;0.0216996669769287;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;43;3;9;0.0867929458618164;200;4.0;120;7.285714285714286;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.906890595608519;256;0.0;52.0;172.0
custom;Rectangular Surface;43;3;9;0.0881152153015136;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;44;3;9;0.0229010581970214;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;44;3;9;0.089210033416748;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;44;3;9;0.0948243141174316;200;4.0;118;7.190476190476191;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.882643049361842;256;;;118.0
custom;Concatenated;45;3;9;0.026094913482666;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;45;3;9;0.0976326465606689;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;45;3;9;0.0971522331237793;200;4.0;118;7.190476190476191;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.882643049361842;256;;;118.0
custom;Concatenated;46;3;9;0.0284159183502197;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;46;3;9;0.0957791805267334;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;46;3;9;0.0952284336090087;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;47;3;9;0.0271322727203369;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;47;3;9;0.0957553386688232;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;47;3;9;0.0923399925231933;232;5.0;118;7.190476190476191;16;{0:1, 2:4, 4:22, 6:100, 8:129};6.882643049361842;256;;;118.0
custom;Concatenated;48;3;9;0.0272614955902099;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;48;3;9;0.0961110591888427;200;4.0;120;7.285714285714286;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.906890595608519;256;0.0;52.0;172.0
custom;Rectangular Surface;48;3;9;0.0940425395965576;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;49;3;9;0.0258355140686035;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;49;3;9;0.0942370891571044;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;49;3;9;0.094146728515625;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;50;3;9;0.0262649059295654;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;50;3;9;0.1161308288574218;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;50;3;9;0.2531599998474121;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
