distance;name;num_run;custom_cost
4;Rotated Surface;20;571
4;Concatenated;20;71273
4;Measurement State Prep;20;2021945
4;Tanner Network;20;748973
4;Dual Surface;21;1825
4;Rotated Surface;21;559
4;Concatenated;21;116705
4;Measurement State Prep;21;2554785
4;Tanner Network;21;753069
4;Dual Surface;22;2137
4;Rotated Surface;22;535
4;Concatenated;22;50481
4;Measurement State Prep;22;2428391
4;Tanner Network;22;742321
4;Dual Surface;23;1921
4;Rotated Surface;23;571
4;Concatenated;23;52449
4;Measurement State Prep;23;2545015
4;Tanner Network;23;689073
4;Dual Surface;24;2349
4;Rotated Surface;24;535
4;Concatenated;24;84721
4;Measurement State Prep;24;1310213
4;Tanner Network;24;731665
4;Dual Surface;25;1673
4;Rotated Surface;25;565
4;Concatenated;25;69089
4;Measurement State Prep;25;1723273
4;Tanner Network;25;727985
4;Dual Surface;26;1801
4;Rotated Surface;26;533
4;Concatenated;26;62049
4;Measurement State Prep;26;1455735
4;Tanner Network;26;753433
4;Dual Surface;27;1753
4;Rotated Surface;27;543
4;Concatenated;27;73441
4;Measurement State Prep;27;1780301
4;Tanner Network;27;731345
4;Dual Surface;28;2057
4;Rotated Surface;28;523
4;Concatenated;28;70121
4;Measurement State Prep;28;2112349
4;Tanner Network;28;737197
4;Dual Surface;29;2045
4;Rotated Surface;29;511
4;Concatenated;29;69281
4;Measurement State Prep;29;2216773
4;Tanner Network;29;812097
4;Dual Surface;30;1633
4;Rotated Surface;30;535
4;Concatenated;30;77305
4;Measurement State Prep;30;2226991
4;Tanner Network;30;738425
4;Dual Surface;31;2289
4;Rotated Surface;31;551
4;Concatenated;31;89377
4;Measurement State Prep;31;1599595
4;Tanner Network;31;678833
4;Dual Surface;32;2501
4;Rotated Surface;32;555
4;Concatenated;32;93569
4;Measurement State Prep;32;3496883
4;Tanner Network;32;727021
4;Dual Surface;33;1673
4;Rotated Surface;33;537
4;Concatenated;33;110561
4;Measurement State Prep;33;1845657
4;Tanner Network;33;737517
4;Dual Surface;34;2153
4;Rotated Surface;34;551
4;Concatenated;34;56609
4;Measurement State Prep;34;1299813
4;Tanner Network;34;736005
4;Dual Surface;35;1681
4;Rotated Surface;35;497
4;Concatenated;35;69105
4;Measurement State Prep;35;2704853
4;Tanner Network;35;702669
4;Dual Surface;36;1393
4;Rotated Surface;36;559
4;Concatenated;36;80817
4;Measurement State Prep;36;1185925
4;Tanner Network;36;1219501
4;Dual Surface;37;2365
4;Rotated Surface;37;609
4;Concatenated;37;53857
4;Measurement State Prep;37;1576451
4;Tanner Network;37;753713
4;Dual Surface;38;1321
4;Rotated Surface;38;483
4;Concatenated;38;79137
4;Measurement State Prep;38;760629
4;Tanner Network;38;855021
4;Dual Surface;39;1705
4;Rotated Surface;39;551
4;Concatenated;39;51137
4;Measurement State Prep;39;1752485
4;Tanner Network;39;788973
4;Dual Surface;40;2825
4;Rotated Surface;40;457
4;Concatenated;40;79585
4;Measurement State Prep;40;2032203
4;Tanner Network;40;672721
4;Dual Surface;41;2033
4;Rotated Surface;41;531
4;Concatenated;41;68961
4;Measurement State Prep;41;1433229
4;Tanner Network;41;734673
4;Dual Surface;42;1793
4;Rotated Surface;42;455
4;Concatenated;42;79201
4;Measurement State Prep;42;1774443
4;Tanner Network;42;684957
4;Dual Surface;43;1921
4;Rotated Surface;43;555
4;Concatenated;43;97185
4;Measurement State Prep;43;1777821
4;Tanner Network;43;849325
4;Dual Surface;44;2485
