distance;representation;num_run;upper_bound_cost
5;Tanner Network;11;231.02272016249145
5;Tanner Network;12;231.04508788952853
5;Tanner Network;13;222.04508856687772
5;Tanner Network;14;225.02553517793052
5;Tanner Network;15;225.02553517793052
5;Tanner Network;16;231.04508788952853
5;Tanner Network;17;231.04508788952853
5;Tanner Network;18;222.04508856687772
5;Tanner Network;19;231.04508788952853
5;Tanner Network;20;222.02834462569396
5;Tanner Network;21;222.04508856687772
5;Tanner Network;22;222.02553577869654
5;Tanner Network;23;231.04508788952853
5;Tanner Network;24;231.04508788952853
5;Tanner Network;25;231.0227200765214
5;Tanner Network;26;228.02280812893054
5;Tanner Network;27;222.04508856687772
5;Tanner Network;28;231.04508788952853
5;Tanner Network;29;222.02272077517944
5;Tanner Network;30;222.04508856687772
5;Tanner Network;31;231.04508788952853
5;Tanner Network;32;234.0227207645985
5;Tanner Network;33;231.04508788952853
5;Tanner Network;34;231.04508788952853
5;Tanner Network;35;228.02272008741699
5;Tanner Network;36;231.04508788952853
5;Tanner Network;37;207.19522571976893
5;Tanner Network;38;214.1101829177407
5;Tanner Network;39;231.04508788952853
5;Tanner Network;40;231.04508788952853
5;Tanner Network;41;237.0227200765001
5;Tanner Network;42;231.04508788952853
5;Tanner Network;43;231.04508788952853
5;Tanner Network;44;231.04508788952853
5;Tanner Network;45;219.0227641047305
5;Tanner Network;46;222.04508856687772
5;Tanner Network;47;231.04508788952853
5;Tanner Network;48;231.0230722539807
5;Tanner Network;49;222.0450885668751
5;Tanner Network;50;231.04508788952853
5;Tanner Network;51;222.02553577869654
5;Tanner Network;52;237.0230722539804
5;Tanner Network;53;231.04508788952853
5;Tanner Network;54;222.02553577869654
5;Tanner Network;55;216.02311627010292
5;Tanner Network;56;231.04508788952853
5;Tanner Network;57;222.02553577869654
5;Tanner Network;58;225.19264515437914
5;Tanner Network;59;231.04508788952853
5;Tanner Network;60;231.04508788952853
5;Tanner Network;61;231.04508788952853
5;Tanner Network;62;225.02311627012125
5;Tanner Network;63;231.04508788952853
5;Tanner Network;64;231.04508788952853
5;Tanner Network;65;222.04508856687772
5;Tanner Network;66;231.04508788952853
5;Tanner Network;67;231.0227200778437
5;Tanner Network;68;222.04508856687772
5;Tanner Network;69;222.02272077517947
5;Tanner Network;70;231.04508788952853
5;Tanner Network;71;228.04508790013276
5;Tanner Network;72;231.04508788952853
5;Tanner Network;73;231.04508788952853
5;Tanner Network;74;216.3446481713707
5;Tanner Network;75;228.02272009800055
5;Tanner Network;76;231.04508788952853
5;Tanner Network;77;222.02553577869654
5;Tanner Network;78;231.04508788952853
5;Tanner Network;79;216.0227641035759
5;Tanner Network;80;231.04508788952853
5;Tanner Network;81;222.0450885668751
5;Tanner Network;82;222.0450885668751
5;Tanner Network;83;231.04508788952853
5;Tanner Network;84;231.04508788952853
5;Tanner Network;85;231.04508788952853
5;Tanner Network;86;231.04508788952853
5;Tanner Network;87;222.02553577869654
5;Tanner Network;88;225.02272016249174
5;Tanner Network;89;237.0227200765001
5;Tanner Network;90;231.04508788952853
5;Tanner Network;91;231.04508788952853
5;Tanner Network;92;231.04508788952853
5;Tanner Network;93;222.0450885668751
5;Tanner Network;94;231.04508788952853
5;Tanner Network;95;231.04508788952853
5;Tanner Network;96;231.02272557993473
5;Tanner Network;97;225.02553517793083
5;Tanner Network;98;222.04508856687772
5;Tanner Network;99;207.0255358658616
7;Dual Surface;0;297.0227200765001
7;Dual Surface;1;297.0227200765027
7;Dual Surface;2;297.0227200765001
7;Dual Surface;3;303.02307225398005
7;Dual Surface;4;297.0227255799134
7;Dual Surface;5;297.0227200765001
7;Dual Surface;6;297.0227200765001
7;Dual Surface;7;297.0227200765001
7;Dual Surface;8;297.0227200765001
7;Dual Surface;9;297.022720076668
7;Dual Surface;10;292.02272007582815
7;Dual Surface;11;297.0227200765001
7;Dual Surface;12;297.0227200765001
7;Dual Surface;13;297.02272007650043
7;Dual Surface;14;297.0227200765001
7;Dual Surface;15;297.0227200765001
7;Dual Surface;16;297.0227200765001
7;Dual Surface;17;297.0227200765001
7;Dual Surface;18;292.0227200758281
7;Dual Surface;19;297.0227200765001
7;Dual Surface;20;297.0227200765001
7;Dual Surface;21;297.0227200765001
7;Dual Surface;22;297.0227200765001
7;Dual Surface;23;297.0227200765001
7;Dual Surface;24;297.0227200765001
7;Dual Surface;25;297.0227200765027
7;Dual Surface;26;294.192645076748
7;Dual Surface;27;291.0234243428251
7;Dual Surface;28;297.0227200765001
7;Dual Surface;29;291.02342434299294
7;Dual Surface;30;297.02272007652107
7;Dual Surface;31;297.0227200765001
7;Dual Surface;32;297.0227200765001
7;Dual Surface;33;292.02272007582815
7;Dual Surface;34;297.0227200765001
7;Dual Surface;35;294.192645076748
7;Dual Surface;36;297.02272007650043
7;Dual Surface;37;294.192645076748
7;Dual Surface;38;297.0227200765001
7;Dual Surface;39;297.02272007650043
7;Dual Surface;40;303.0450878895282
7;Dual Surface;41;297.0227200765001
7;Dual Surface;42;297.0227200765001
7;Dual Surface;43;297.0227200765001
7;Dual Surface;44;297.0227200765001
7;Dual Surface;45;297.02272007650043
7;Dual Surface;46;297.0227200765001
7;Dual Surface;47;297.0227200765001
7;Dual Surface;48;292.02272007582815
7;Dual Surface;49;297.0227200765001
7;Dual Surface;50;297.0227200765001
7;Dual Surface;51;297.02272007652107
7;Dual Surface;52;297.0227200765001
7;Dual Surface;53;297.0227200765001
7;Dual Surface;54;297.0227200765001
7;Dual Surface;55;297.0227200765001
7;Dual Surface;56;303.02307225398005
7;Dual Surface;57;297.0227200765001
7;Dual Surface;58;297.0227200765001
7;Dual Surface;59;297.0227200765001
7;Dual Surface;60;297.0227200765001
7;Dual Surface;61;297.0227200765001
7;Dual Surface;62;297.0227200765027
7;Dual Surface;63;297.0227200765001
7;Dual Surface;64;297.0227200765001
7;Dual Surface;65;297.0227200765001
7;Dual Surface;66;297.02272007650043
7;Dual Surface;67;297.0227200765001
7;Dual Surface;68;297.0227200765027
7;Dual Surface;69;297.0227200765001
7;Dual Surface;70;297.0227200765001
7;Dual Surface;71;297.0227200765001
7;Dual Surface;72;297.022720076668
7;Dual Surface;73;297.0227200765001
7;Dual Surface;74;297.02272007650043
7;Dual Surface;75;297.0227200765001
7;Dual Surface;76;294.192645076748
7;Dual Surface;77;297.0227200765027
7;Dual Surface;78;297.022720076668
7;Dual Surface;79;297.0227200765001
7;Dual Surface;80;297.0227200765001
7;Dual Surface;81;297.0227200765001
7;Dual Surface;82;297.0227200765001
7;Dual Surface;83;297.0227200765001
7;Dual Surface;84;297.0227200765001
7;Dual Surface;85;303.02307225398005
7;Dual Surface;86;294.192645076748
7;Dual Surface;87;297.0227200765001
7;Dual Surface;88;294.1926450767483
7;Dual Surface;89;297.0227200778437
7;Dual Surface;90;294.192645076748
7;Dual Surface;91;297.0227200765001
7;Dual Surface;92;292.02272007582815
7;Dual Surface;93;297.0227200765001
7;Dual Surface;94;297.0227200765001
7;Dual Surface;95;294.192645076748
7;Dual Surface;96;297.02272007652107
7;Dual Surface;97;297.0227200765001
7;Dual Surface;98;297.02272007652107
7;Dual Surface;99;297.0227200765001
7;Rotated Surface;0;177.0227200764791
7;Rotated Surface;1;172.0228933809458
7;Rotated Surface;2;171.02272557993442
7;Rotated Surface;3;177.02272007664703
7;Rotated Surface;4;165.0697907230755
7;Rotated Surface;5;171.02272557993442
7;Rotated Surface;6;172.0228933809458
7;Rotated Surface;7;171.02623172519753
7;Rotated Surface;8;171.0450878048808
7;Rotated Surface;9;171.02272557993442
7;Rotated Surface;10;171.0450878048808
7;Rotated Surface;11;174.0255350061158
7;Rotated Surface;12;168.19264032928353
7;Rotated Surface;13;171.02272566456114
7;Rotated Surface;14;171.02272566456114
7;Rotated Surface;15;171.02272566456114
7;Rotated Surface;16;171.02588048979308
7;Rotated Surface;17;171.04543447894713
